Escala,T1_BMV,T2_BMV,T3_BMV,T4_BMV,NEG_BMV,POS_BMV,T1_S,T2_S,T3_S,T4_S,NEG_S,POS_S,T1_I,T2_I,T3_I,T4_I,NEG_I,POS_I
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.244987759335878,7.637616254851546,19.20068657492482,17.51769822101942,0.0,0.0
32,0.0,0.0,0.0,0.0,2.730411522526666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.749848791509331,8.057543774193933,22.972242634316096,13.793800757319463,3.658520636126236,0.0
33,0.0,0.0,0.0,0.0,3.5081748064851577,0.0,0.0,2.8149223266701218,0.0,0.0,0.0,0.0,12.472712463833473,7.061550308805842,21.257123528738493,16.00416847839804,3.077106746578114,0.0
34,0.0,0.0,0.0,4.37601848849126,4.17430332623994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.295566091271708,7.206907697737078,22.078045745562086,13.70758236430725,4.036734250985714,0.0
35,0.0,0.0,0.0,4.37601848849126,4.17430332623994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.295566091271708,7.206907697737078,22.078045745562086,13.70758236430725,4.036734250985714,0.0
36,0.0,0.0,0.0,0.0,7.631198542890351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.895281446752183,3.6595424319240584,19.0570755775335,11.829435177237052,3.824359418351085,0.0
37,0.0,0.0,0.0,0.0,7.631198542890351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.895281446752183,3.6595424319240584,19.0570755775335,11.829435177237052,3.824359418351085,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,2.8507389802024887,3.181019097338494,0.0,0.0,0.0,4.216114090523675,12.10441970895897,5.702215691894449,19.53533018757416,11.017320999250487,3.78435172886295,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9330608330159658,12.677638824797196,4.626314307280432,18.735331680963057,11.84974915415927,5.14684367663374,0.0
40,0.0,0.0,0.0,0.0,4.31324443122993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.830298040950835,4.3355891640259845,20.165449209244183,13.332106888790056,8.460649290975677,9.625833016534969
41,0.0,0.0,0.0,0.0,4.229405034410608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.587582675720174,3.110080718995798,16.966467193726885,20.5588610741931,4.90135616826394,7.153800622798433
42,0.0,0.0,0.0,0.0,2.846752072044613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.847843627270013,6.867495957017003,23.957270315375887,13.511037981780243,4.704759892368056,0.0
43,0.0,0.0,0.0,0.0,0.0,4.667635683172134,0.0,0.0,0.0,0.0,0.0,0.0,11.996063409499095,7.29646136649387,23.248831559871025,10.835452836831633,4.277620432487623,0.0
44,0.0,0.0,0.0,0.0,9.219757455975584,0.0,3.5401613622061223,3.4861111729232745,0.0,0.0,0.0,2.8243674555588316,15.292634555181198,2.967559502745435,18.348628856731025,14.606408871687856,6.015081152529999,0.0
45,0.0,0.0,0.0,0.0,9.219757455975584,0.0,3.5401613622061223,3.4861111729232745,0.0,0.0,0.0,2.8243674555588316,15.292634555181198,2.967559502745435,18.348628856731025,14.606408871687856,6.015081152529999,0.0
46,0.0,0.0,0.0,0.0,4.701914470078105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.693390950407904,5.563847603184737,18.176500120907292,15.16230655683272,5.2127421604589115,0.0
47,0.0,0.0,0.0,0.0,4.701914470078105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.693390950407904,5.563847603184737,18.176500120907292,15.16230655683272,5.2127421604589115,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1307609522983855,0.0,14.041722036683764,4.945951575831038,18.86718826915087,13.053786469429959,11.778717711762036,0.0
49,0.0,0.0,0.0,0.0,3.5509901997744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.872856664865415,5.08906604103961,17.909276824331318,12.422667210377794,8.931018426579717,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.161626886936093,7.477067130550416,13.785854048141253,18.13501506953312,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.453101332534262,5.217268626729118,14.353576515436766,14.912688318692611,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.421625437563229,3.0888636961919267,18.52404959405322,9.648101751029968,6.548971703893568,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.545099757155194,3.280901887194926,18.439574804189544,9.124822622757588,7.715148146124905,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6900711343629125,8.97002808740305,6.340330190879016,17.367300774432955,10.756522777763841,3.2812976620731087,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.839669367299784,9.65774880250407,5.386205904272332,17.236502824329595,9.458124515533777,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.106866617681593,0.0,15.924248127967875,7.983141248699962,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.370270653384159,0.0,15.742930815825819,7.876214204594039,0.0,0.0
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.487411868944188,4.148554279321394,13.283898834406,15.637757018674032,3.233438236139873,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.875119830627765,5.506303719626179,13.505694499134389,14.677128078990721,5.523885486667674,0.0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.716815590596652,11.169508940477705,0.0,14.521845983379738,10.416963879954395,0.0,0.0
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9711304982133457,12.92548700868527,0.0,13.850964025329803,7.638334599274429,3.566649074446487,0.0
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.65740450231693,0.0,11.729071529183486,8.156350722663738,6.882691218488783,4.424121331025652
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.600181413009249,0.0,11.638460857804379,8.14981555103524,6.9739893777030995,4.20536762823783
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.479004671309296,3.5588790946537845,12.505047650535762,11.949369621026422,6.731447661127587,0.0
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.421946287936011,3.59474302288853,12.506618489197495,11.882806164278753,6.720937038711925,0.0
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.540974535720503,0.0,11.438522420305736,10.810776515283207,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.540974535720503,0.0,11.438522420305736,10.810776515283207,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0,4.0983117949312495,0.0,0.0,0.0,0.0,0.0,0.0,10.422341409103248,0.0,9.288439219922713,12.925670705504645,0.0,0.0
69,0.0,0.0,0.0,0.0,0.0,3.505461538974521,0.0,0.0,0.0,0.0,0.0,0.0,10.034362544433565,0.0,9.124069538275423,12.086212401792643,0.0,0.0
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9556855213967275,5.868454142855974,12.298977026522277,11.192626287087847,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9556855213967275,5.868454142855974,12.298977026522277,11.192626287087847,0.0,0.0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.67870530746571,2.7709589203227663,12.950090306751315,8.43370857490572,3.001869302199718,0.0
