Escala,T1_BMV,T2_BMV,T3_BMV,T4_BMV,NEG_BMV,POS_BMV,T1_S,T2_S,T3_S,T4_S,NEG_S,POS_S,T1_I,T2_I,T3_I,T4_I,NEG_I,POS_I
10,0.010422098042735379,0.007879258505105402,0.004779915591238351,0.0049617845754892885,0.004939340041695621,0.0036072458517750453,0.016929129906546533,0.008285876930636623,0.003576256151994171,0.0036133706492750477,0.005019289910868352,0.0035584687532484913,0.009320155451767996,0.005964770250311411,0.007261766433064724,0.004952211014758845,0.004201719658623464,0.003541175579948212
11,0.010982919017539002,0.008319368107595123,0.005113384526783564,0.005442795292614028,0.005222189499187182,0.0036859461772383146,0.014051805815457095,0.010157626816539079,0.0036561181651985505,0.003694917783647506,0.005233027649478908,0.0036375295336988655,0.0097985331486069,0.006414281372522776,0.005679206749310185,0.005194415287604235,0.004311299801177448,0.0036194613479071415
12,0.010262150130998066,0.007902098617491558,0.004865286751356252,0.00516033457713371,0.005009885029477833,0.003661652206298538,0.01793339591414327,0.009430433132847634,0.0036342443854457656,0.0036725786990216523,0.005096498955509087,0.0036158769535700797,0.009322101368468469,0.006199717815577934,0.005626647638969075,0.005112450748255484,0.004268102079939176,0.0035980227032649096
13,0.010262150130998066,0.007902098617491558,0.004865286751356252,0.00516033457713371,0.005009885029477833,0.003661652206298538,0.01793339591414327,0.009430433132847634,0.0036342443854457656,0.0036725786990216523,0.005096498955509087,0.0036158769535700797,0.009322101368468469,0.006199717815577934,0.005626647638969075,0.005112450748255484,0.004268102079939176,0.0035980227032649096
14,0.01066596281489232,0.008064570774873443,0.004936742733777603,0.005055992641859845,0.005064371636151785,0.003713029733687234,0.011412212902482182,0.00919631273932225,0.0036863696310866926,0.0037258174415616286,0.005205195470675997,0.003667472909672583,0.010526000068847716,0.006229883398439927,0.00562842719989021,0.005247892725522821,0.004333652646682797,0.003649106783513522
15,0.01066596281489232,0.008064570774873443,0.004936742733777603,0.005055992641859845,0.005064371636151785,0.003713029733687234,0.011412212902482182,0.00919631273932225,0.0036863696310866926,0.0037258174415616286,0.005205195470675997,0.003667472909672583,0.010526000068847716,0.006229883398439927,0.00562842719989021,0.005247892725522821,0.004333652646682797,0.003649106783513522
16,0.01056948423401667,0.008000516799945059,0.004863716792606723,0.005121432059418535,0.005061847159901017,0.003707132643076918,0.010990156683584763,0.00884633330553082,0.003682943491748271,0.0037223176185229817,0.005198771794263332,0.003664081789656219,0.010610939106676529,0.006233152359257267,0.005648567988026937,0.005149962157110261,0.0043269007431768515,0.0036457495272961406
17,0.010202210906246062,0.008217292908198255,0.0050240435479467615,0.005131736177950721,0.005095028089860044,0.003729743229399951,0.013250328857259396,0.009408401445308212,0.0037061064280069773,0.0037459800603405207,0.005237680157947227,0.0036870073432652907,0.011300422325548704,0.006587591327643123,0.0056093060999553935,0.005201714032954598,0.004360621491095999,0.0036684455404347835
18,0.010420943254250073,0.008120477398819383,0.004964189622658377,0.004971954361817972,0.005057377454520666,0.003726765212481011,0.01312735319357076,0.009588323455067186,0.0037039150307611435,0.0037437412696219967,0.005232265852404248,0.0036848384675477503,0.011397382274566012,0.006405905158476258,0.005549877292335981,0.005172362339029941,0.004344712286823644,0.0036662984412855946
19,0.010420943254250073,0.008120477398819383,0.004964189622658377,0.004971954361817972,0.005057377454520666,0.003726765212481011,0.01312735319357076,0.009588323455067186,0.0037039150307611435,0.0037437412696219967,0.005232265852404248,0.0036848384675477503,0.011397382274566012,0.006405905158476258,0.005549877292335981,0.005172362339029941,0.004344712286823644,0.0036662984412855946
20,0.010238053084778783,0.007806270054451099,0.005205768969201831,0.004999109248388614,0.0050392220230083195,0.003738596624216868,0.01209793997570366,0.00994989826386115,0.0037137023055850028,0.0037537404348857656,0.005247247631755876,0.003694525053830128,0.011408277538303268,0.006688145570254558,0.005538721666239366,0.005200528702038457,0.004358653995854518,0.003675887671091576
21,0.010238053084778783,0.007806270054451099,0.005205768969201831,0.004999109248388614,0.0050392220230083195,0.003738596624216868,0.01209793997570366,0.00994989826386115,0.0037137023055850028,0.0037537404348857656,0.005247247631755876,0.003694525053830128,0.011408277538303268,0.006688145570254558,0.005538721666239366,0.005200528702038457,0.004358653995854518,0.003675887671091576
22,0.01022858094645902,0.007745910172842815,0.0052085564613695194,0.004992418037214239,0.005041284510336513,0.0037400321898059794,0.01212137859635445,0.009849472028270169,0.003714603392660181,0.0037546610586877477,0.005249046747992069,0.0036954168575379733,0.011180628243137912,0.006683874911232917,0.005519999755926093,0.005208401728459399,0.004368892753588346,0.00367677049884187
23,0.01022858094645902,0.007745910172842815,0.0052085564613695194,0.004992418037214239,0.005041284510336513,0.0037400321898059794,0.01212137859635445,0.009849472028270169,0.003714603392660181,0.0037546610586877477,0.005249046747992069,0.0036954168575379733,0.011180628243137912,0.006683874911232917,0.005519999755926093,0.005208401728459399,0.004368892753588346,0.00367677049884187
24,0.009586107843123073,0.007658569253430253,0.005202494527727297,0.004909025786575645,0.005019238101355261,0.003732186706843559,0.011330538262238305,0.00898224488743588,0.0037095559226003718,0.003749504215059255,0.005236506265290148,0.0036904213597758074,0.01140683961435624,0.006540864492972472,0.005550180623181403,0.0051582925938899685,0.004359908437622477,0.003671825252793109
25,0.009586107843123073,0.007658569253430253,0.005202494527727297,0.004909025786575645,0.005019238101355261,0.003732186706843559,0.011330538262238305,0.00898224488743588,0.0037095559226003718,0.003749504215059255,0.005236506265290148,0.0036904213597758074,0.01140683961435624,0.006540864492972472,0.005550180623181403,0.0051582925938899685,0.004359908437622477,0.003671825252793109
26,0.009234315103767439,0.0074405750101838915,0.005019306848646338,0.004808625573758276,0.005026567872181865,0.0037262701672106445,0.011416695795635963,0.009228287333910633,0.003705510946020301,0.0037453716970125873,0.005223158298067792,0.0036864179825012856,0.011135999853957811,0.006274652867745831,0.005511514938611241,0.005164708160103305,0.004342740004165843,0.003667862098398177
27,0.009613179103307013,0.00755082730355858,0.005038169703777211,0.004852098118378897,0.005037488269255483,0.003730395686429998,0.011420406225642513,0.009240479907656645,0.003707354101266514,0.0037472547298263285,0.0052287918975012365,0.0036882421879748193,0.011338218386860131,0.006331751464833889,0.005468350322470629,0.005092054351456857,0.004354954911974034,0.00366966798102072
