Semana,T1_BMV,T2_BMV,T3_BMV,T4_BMV,NEG_BMV,POS_BMV,T1_S,T2_S,T3_S,T4_S,NEG_S,POS_S,T1_I,T2_I,T3_I,T4_I,NEG_I,POS_I
2013-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014925373134328358,0.0,0.0,0.009389671361502348,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-11,0.025,0.0,0.0,0.0,0.0,0.0,0.045714285714285714,0.033582089552238806,0.0,0.0,0.023474178403755867,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.03142857142857143,0.055970149253731345,0.0,0.0,0.004694835680751174,0.0,0.046511627906976744,0.0,0.6964285714285714,0.36363636363636365,0.6486486486486487,0.0
2013-01-25,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.02,0.022388059701492536,0.0,0.0,0.004694835680751174,0.0,0.046511627906976744,0.0,0.6785714285714286,0.41818181818181815,0.6486486486486487,0.0
2013-02-01,0.025,0.1388888888888889,0.0,0.019230769230769232,0.0,0.0,0.04,0.048507462686567165,0.0,0.0,0.06103286384976526,0.0,0.13953488372093023,0.0,0.8928571428571429,0.7272727272727273,0.9459459459459459,0.0
2013-02-08,0.05,0.027777777777777776,0.0,0.0,0.03333333333333333,0.0,0.03428571428571429,0.011194029850746268,0.0,0.02631578947368421,0.023474178403755867,0.0,0.046511627906976744,0.0,0.6785714285714286,0.5636363636363636,0.6486486486486487,0.0
2013-02-15,0.025,0.08333333333333333,0.0,0.019230769230769232,0.03333333333333333,0.0,0.03428571428571429,0.048507462686567165,0.0,0.0,0.023474178403755867,0.08333333333333333,0.03488372093023256,0.0,0.875,0.34545454545454546,0.7297297297297297,0.0
2013-02-22,0.075,0.05555555555555555,0.0,0.057692307692307696,0.06666666666666667,0.0,0.04,0.033582089552238806,0.0,0.07894736842105263,0.051643192488262914,0.0,0.08139534883720931,0.0,0.6071428571428571,0.45454545454545453,0.6486486486486487,0.0
2013-03-01,0.0,0.027777777777777776,0.0,0.11538461538461539,0.0,0.0,0.04,0.018656716417910446,0.0,0.02631578947368421,0.028169014084507043,0.0,0.09302325581395349,0.011904761904761904,0.9285714285714286,0.8909090909090909,0.8648648648648649,0.0
2013-03-08,0.025,0.027777777777777776,0.0,0.019230769230769232,0.03333333333333333,0.0,0.04,0.026119402985074626,0.0,0.0,0.014084507042253521,0.0,0.03488372093023256,0.0,0.6964285714285714,0.6909090909090909,0.6216216216216216,0.0
2013-03-15,0.025,0.027777777777777776,0.0,0.0,0.03333333333333333,0.0,0.02857142857142857,0.022388059701492536,0.0,0.0,0.028169014084507043,0.0,0.08139534883720931,0.0,0.6785714285714286,0.5454545454545454,0.5405405405405406,0.0
2013-03-22,0.025,0.08333333333333333,0.0,0.0,0.0,0.0,0.02,0.026119402985074626,0.0,0.0,0.023474178403755867,0.0,0.023255813953488372,0.011904761904761904,0.625,0.38181818181818183,0.5405405405405406,0.0
2013-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.017142857142857144,0.014925373134328358,0.0,0.0,0.023474178403755867,0.0,0.03488372093023256,0.0,0.9107142857142857,0.5454545454545454,0.6756756756756757,0.0
2013-04-05,0.025,0.027777777777777776,0.0,0.0,0.03333333333333333,0.0,0.017142857142857144,0.011194029850746268,0.0,0.0,0.03286384976525822,0.0,0.05813953488372093,0.0,0.48214285714285715,0.5272727272727272,0.5405405405405406,0.0
2013-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.03428571428571429,0.014925373134328358,0.0,0.02631578947368421,0.023474178403755867,0.0,0.023255813953488372,0.0,0.8392857142857143,0.5454545454545454,0.7297297297297297,0.0
2013-04-19,0.025,0.1111111111111111,0.0,0.0,0.0,0.0,0.03428571428571429,0.03731343283582089,0.0,0.0,0.046948356807511735,0.0,0.08139534883720931,0.0,0.7142857142857143,0.32727272727272727,0.5405405405405406,0.0
2013-04-26,0.025,0.05555555555555555,0.0,0.019230769230769232,0.03333333333333333,0.0,0.04285714285714286,0.0708955223880597,0.0,0.0,0.023474178403755867,0.08333333333333333,0.046511627906976744,0.0,0.6428571428571429,0.4909090909090909,0.6216216216216216,0.0
2013-05-03,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.025714285714285714,0.05223880597014925,0.0,0.0,0.009389671361502348,0.08333333333333333,0.12790697674418605,0.0,0.9642857142857143,0.8363636363636363,0.9459459459459459,0.3333333333333333
2013-05-10,0.025,0.05555555555555555,0.0,0.038461538461538464,0.0,0.0,0.04,0.04477611940298507,0.0,0.0,0.014084507042253521,0.0,0.10465116279069768,0.011904761904761904,0.6428571428571429,0.6363636363636364,0.5945945945945946,0.0
2013-05-17,0.0,0.1111111111111111,0.0,0.0,0.03333333333333333,0.0,0.03428571428571429,0.048507462686567165,0.0,0.0,0.018779342723004695,0.0,0.05813953488372093,0.0,1.0,0.5636363636363636,0.9459459459459459,0.0
2013-05-24,0.025,0.027777777777777776,0.0,0.0,0.0,0.0,0.03428571428571429,0.026119402985074626,0.0,0.0,0.046948356807511735,0.08333333333333333,0.06976744186046512,0.0,0.4642857142857143,0.6181818181818182,0.35135135135135137,0.0
2013-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.05970149253731343,0.0,0.0,0.046948356807511735,0.0,0.09302325581395349,0.0,0.8214285714285714,0.8181818181818182,1.0,0.0
