Semana,T1_BMV,T2_BMV,T3_BMV,T4_BMV,NEG_BMV,POS_BMV,T1_S,T2_S,T3_S,T4_S,NEG_S,POS_S,T1_I,T2_I,T3_I,T4_I,NEG_I,POS_I
2013-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.7647058823529411,0.23529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-11,1.0,0.0,0.0,0.0,0.0,0.0,0.7631578947368421,0.23684210526315788,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,0.38461538461538464,0.0,0.0,0.02564102564102564,0.0,0.06349206349206349,0.0,0.6190476190476191,0.31746031746031744,0.14285714285714285,0.0
2013-01-25,0.0,1.0,0.0,0.0,0.0,0.0,0.7692307692307693,0.23076923076923078,0.0,0.0,0.038461538461538464,0.0,0.06153846153846154,0.0,0.5846153846153846,0.35384615384615387,0.16923076923076924,0.0
2013-02-01,0.14285714285714285,0.7142857142857143,0.0,0.14285714285714285,0.0,0.0,0.675,0.325,0.0,0.0,0.1,0.0,0.11764705882352941,0.0,0.49019607843137253,0.39215686274509803,0.16666666666666666,0.0
2013-02-08,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.8620689655172413,0.10344827586206896,0.0,0.034482758620689655,0.06896551724137931,0.0,0.0547945205479452,0.0,0.5205479452054794,0.4246575342465753,0.1643835616438356,0.0
2013-02-15,0.2,0.6,0.0,0.2,0.0,0.0,0.6578947368421053,0.34210526315789475,0.0,0.0,0.05263157894736842,0.02631578947368421,0.04225352112676056,0.0,0.6901408450704225,0.2676056338028169,0.22535211267605634,0.0
2013-02-22,0.375,0.25,0.0,0.375,0.0,0.0,0.6923076923076923,0.23076923076923078,0.0,0.07692307692307693,0.10256410256410256,0.0,0.10606060606060606,0.0,0.5151515151515151,0.3787878787878788,0.18181818181818182,0.0
2013-03-01,0.0,0.14285714285714285,0.0,0.8571428571428571,0.0,0.0,0.8181818181818182,0.15151515151515152,0.0,0.030303030303030304,0.030303030303030304,0.0,0.07272727272727272,0.00909090909090909,0.4727272727272727,0.44545454545454544,0.13636363636363635,0.0
2013-03-08,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.7941176470588235,0.20588235294117646,0.0,0.0,0.058823529411764705,0.0,0.0375,0.0,0.4875,0.475,0.1625,0.0
2013-03-15,0.5,0.5,0.0,0.0,0.5,0.0,0.7931034482758621,0.20689655172413793,0.0,0.0,0.10344827586206896,0.0,0.09333333333333334,0.0,0.5066666666666667,0.4,0.13333333333333333,0.0
2013-03-22,0.25,0.75,0.0,0.0,0.0,0.0,0.7407407407407407,0.25925925925925924,0.0,0.0,0.14814814814814814,0.0,0.03389830508474576,0.01694915254237288,0.5932203389830508,0.3559322033898305,0.1864406779661017,0.0
2013-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.8260869565217391,0.17391304347826086,0.0,0.0,0.17391304347826086,0.0,0.03571428571428571,0.0,0.6071428571428571,0.35714285714285715,0.13095238095238096,0.0
2013-04-05,0.5,0.5,0.0,0.0,0.0,0.0,0.8636363636363636,0.13636363636363635,0.0,0.0,0.18181818181818182,0.0,0.08196721311475409,0.0,0.4426229508196721,0.47540983606557374,0.19672131147540983,0.0
2013-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.13333333333333333,0.0,0.03333333333333333,0.13333333333333333,0.0,0.02531645569620253,0.0,0.5949367088607594,0.379746835443038,0.17721518987341772,0.0
2013-04-19,0.2,0.8,0.0,0.0,0.0,0.0,0.7142857142857143,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.1076923076923077,0.0,0.6153846153846154,0.27692307692307694,0.15384615384615385,0.0
2013-04-26,0.25,0.5,0.0,0.25,0.0,0.0,0.5957446808510638,0.40425531914893614,0.0,0.0,0.0851063829787234,0.02127659574468085,0.05970149253731343,0.0,0.5373134328358209,0.40298507462686567,0.208955223880597,0.0
2013-05-03,0.0,1.0,0.0,0.0,0.0,0.0,0.6111111111111112,0.3888888888888889,0.0,0.0,0.027777777777777776,0.027777777777777776,0.0990990990990991,0.0,0.4864864864864865,0.4144144144144144,0.1891891891891892,0.0
2013-05-10,0.2,0.4,0.0,0.4,0.0,0.0,0.6923076923076923,0.3076923076923077,0.0,0.0,0.05128205128205128,0.0,0.1111111111111111,0.012345679012345678,0.4444444444444444,0.43209876543209874,0.13580246913580246,0.0
2013-05-17,0.0,1.0,0.0,0.0,0.0,0.0,0.6578947368421053,0.34210526315789475,0.0,0.0,0.0,0.0,0.05434782608695652,0.0,0.6086956521739131,0.33695652173913043,0.15217391304347827,0.0
2013-05-24,0.5,0.5,0.0,0.0,0.0,0.0,0.78125,0.21875,0.0,0.0,0.09375,0.03125,0.09090909090909091,0.0,0.3939393939393939,0.5151515151515151,0.10606060606060606,0.0
2013-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.5897435897435898,0.41025641025641024,0.0,0.0,0.15384615384615385,0.0,0.08080808080808081,0.0,0.46464646464646464,0.45454545454545453,0.18181818181818182,0.0
2013-06-07,0.0,1.0,0.0,0.0,0.0,0.0,0.5476190476190477,0.4523809523809524,0.0,0.0,0.09523809523809523,0.023809523809523808,0.046511627906976744,0.0,0.45348837209302323,0.5,0.20930232558139536,0.0
