Escala,T1_BMV,T2_BMV,T3_BMV,T4_BMV,NEG_BMV,POS_BMV,T1_S,T2_S,T3_S,T4_S,NEG_S,POS_S,T1_I,T2_I,T3_I,T4_I,NEG_I,POS_I
10,0.008713596359680846,0.005365288394533336,0.004247826223107427,0.004159885322713938,0.0062635136805759325,0.003968528126181297,0.008649257743647004,0.006759232623668687,0.004682544746822713,0.004347170180666212,0.007746540437819369,0.004532118441729067,0.008524179666402745,0.004727864771841751,0.006745727628172863,0.007223242497986385,0.00754663596994819,0.003803980080621196
11,0.008605049730311726,0.005594125791925429,0.004553534390732365,0.004269266685037615,0.006916230058593258,0.004112582870225475,0.008629475125165055,0.007717501518492976,0.004447452948349647,0.00461822532318074,0.008424531702097678,0.0049254738119460855,0.00963044279634852,0.0054986628323220165,0.00578083246838721,0.00559327783678567,0.007945463079753265,0.003909881374522153
12,0.008099914628249983,0.005415846279657254,0.004413095103445098,0.004148538043215271,0.006717195705750328,0.004005447623540291,0.008563207095480859,0.007259461972828925,0.0042965312073708255,0.004442602530363803,0.007808045709450133,0.004708438697274581,0.0098133524161988,0.005168121392443741,0.005773089251582093,0.005455876018411539,0.007730966414508623,0.0038169066539527037
13,0.008099914628249983,0.005415846279657254,0.004413095103445098,0.004148538043215271,0.006717195705750328,0.004005447623540291,0.008563207095480859,0.007259461972828925,0.0042965312073708255,0.004442602530363803,0.007808045709450133,0.004708438697274581,0.0098133524161988,0.005168121392443741,0.005773089251582093,0.005455876018411539,0.007730966414508623,0.0038169066539527037
14,0.009122303088283068,0.005573010195915096,0.004450747905145301,0.004236455453770038,0.006725802179703185,0.004075475680667728,0.008699873197593367,0.0073728434824925325,0.004320885018636292,0.004594500826279938,0.007974432459652774,0.004835048291327703,0.010094250608630444,0.005254554291230668,0.005658170016575584,0.005715935630749961,0.007858634448798793,0.0038802596819940667
15,0.009122303088283068,0.005573010195915096,0.004450747905145301,0.004236455453770038,0.006725802179703185,0.004075475680667728,0.008699873197593367,0.0073728434824925325,0.004320885018636292,0.004594500826279938,0.007974432459652774,0.004835048291327703,0.010094250608630444,0.005254554291230668,0.005658170016575584,0.005715935630749961,0.007858634448798793,0.0038802596819940667
16,0.008929330503054621,0.005528821612842226,0.004439394537987089,0.00421520177980142,0.006736970456826887,0.004083240122312229,0.008308928391759292,0.007300538385163896,0.004370904860021315,0.0045112007649012196,0.007951364769263907,0.004741086536139681,0.01009079737802871,0.005165095999721106,0.005770625714970744,0.005658477436080702,0.007708980762500996,0.003858959641029422
17,0.009124481600429833,0.005506825222663546,0.004458767836082739,0.004216611973143125,0.007080900279344882,0.00412018030425709,0.008974904050083705,0.007731030361942458,0.0043801570435220635,0.0047230278350395135,0.008241488241608563,0.004858103015641825,0.010150258359081605,0.0054409126396683365,0.005635282300689524,0.0054720780104091215,0.008473052307535284,0.0039000613109357474
18,0.009038353327296906,0.005455273822192182,0.004420711818736968,0.004195949353574624,0.007044209756115481,0.004104211032630042,0.008832341092990451,0.0076107233518167795,0.0043571634723316545,0.004670177817773949,0.008146621044041805,0.004720084859325948,0.010149692577644712,0.005373990488233137,0.005652689250247546,0.005415941677066627,0.008356437461361155,0.0038918995925698073
19,0.009038353327296906,0.005455273822192182,0.004420711818736968,0.004195949353574624,0.007044209756115481,0.004104211032630042,0.008832341092990451,0.0076107233518167795,0.0043571634723316545,0.004670177817773949,0.008146621044041805,0.004720084859325948,0.010149692577644712,0.005373990488233137,0.005652689250247546,0.005415941677066627,0.008356437461361155,0.0038918995925698073
20,0.00860010664286761,0.0054629391467962765,0.004739729972855416,0.0041982078303096524,0.007264046844807473,0.004116005303704984,0.008895189655919681,0.007847592181528643,0.004361437781280199,0.005024367175792001,0.007809788384522335,0.004900834457348491,0.009801498086579666,0.005433509066296165,0.005621610586400491,0.005377113346060863,0.00852641508679423,0.003910376189579683
21,0.00860010664286761,0.0054629391467962765,0.004739729972855416,0.0041982078303096524,0.007264046844807473,0.004116005303704984,0.008895189655919681,0.007847592181528643,0.004361437781280199,0.005024367175792001,0.007809788384522335,0.004900834457348491,0.009801498086579666,0.005433509066296165,0.005621610586400491,0.005377113346060863,0.00852641508679423,0.003910376189579683
22,0.008817951518054578,0.0054645129901597245,0.004528275525727562,0.004183730786997628,0.007293990307199994,0.004098750929869796,0.008811549775211196,0.007453456988796466,0.004299547079193897,0.004895849393080034,0.007729897468209663,0.00489235355462163,0.00962969457147009,0.0054290582084869235,0.005694591920675646,0.005391999185301018,0.008717729552451122,0.003908456357580251
23,0.008817951518054578,0.0054645129901597245,0.004528275525727562,0.004183730786997628,0.007293990307199994,0.004098750929869796,0.008811549775211196,0.007453456988796466,0.004299547079193897,0.004895849393080034,0.007729897468209663,0.00489235355462163,0.00962969457147009,0.0054290582084869235,0.005694591920675646,0.005391999185301018,0.008717729552451122,0.003908456357580251
24,0.008877480354449399,0.005397521137948609,0.004831574305986396,0.004169845936963675,0.007497549524331851,0.0041082621611958255,0.008673773268563752,0.0076133464400783965,0.00446643894667386,0.005064408525208783,0.00773869487378639,0.004902323760597672,0.00950242825072275,0.005438330373383809,0.005603981132311762,0.005302810699034635,0.008505558452687322,0.003913453978901516
25,0.008877480354449399,0.005397521137948609,0.004831574305986396,0.004169845936963675,0.007497549524331851,0.0041082621611958255,0.008673773268563752,0.0076133464400783965,0.00446643894667386,0.005064408525208783,0.00773869487378639,0.004902323760597672,0.00950242825072275,0.005438330373383809,0.005603981132311762,0.005302810699034635,0.008505558452687322,0.003913453978901516
26,0.008694153578960188,0.005331616283971897,0.004690602560156162,0.004127705106523641,0.007119080083756672,0.004078113064445879,0.008396672670924822,0.007360108135677128,0.004391251691832077,0.004842464974612684,0.007604310547980321,0.004830428710569183,0.008727394846083621,0.0053049604507124475,0.005373833557618053,0.005268028115073307,0.007886960592949466,0.003900799609704237
27,0.008877855502290134,0.005364238865266194,0.004846552013266079,0.004156162632406468,0.0071369941139215924,0.0041070923276234515,0.008561147432799378,0.007395577696608302,0.00431392861500149,0.004885875208885378,0.007526302509237222,0.0048206305554169306,0.008838335394820006,0.005270444146329797,0.005435954452207525,0.005238922706237066,0.007956652513844883,0.003907179252613647
