Escala,T1_BMV,T2_BMV,T3_BMV,T4_BMV,NEG_BMV,POS_BMV,T1_S,T2_S,T3_S,T4_S,NEG_S,POS_S,T1_I,T2_I,T3_I,T4_I,NEG_I,POS_I
10,0.0,0.0,3.3257045921044117,0.0,0.0,2.9736771406557567,0.0,0.0,0.0,0.0,0.0,2.968062532482481,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,3.062316706634549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.939937074973587,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.939937074973587,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.505340371414709,0.0,0.0,6.322849168457939,5.728336031762267,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.505340371414709,0.0,0.0,6.322849168457939,5.728336031762267,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0443752056755145,0.0,0.0,7.141212804086131,4.712646969441824,0.0,0.0
17,0.0,0.0,0.0,0.0,3.7384123517135466,0.0,0.0,0.0,0.0,0.0,0.0,4.033278587113707,0.0,0.0,13.182365314310156,9.491261015898624,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.355196463863272,0.0,0.0,18.80079361391922,11.895950744949499,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.355196463863272,0.0,0.0,18.80079361391922,11.895950744949499,0.0,0.0
20,0.0,0.0,3.817129269874854,0.0,7.199872254140569,2.8518802583332334,0.0,2.8383872222360425,0.0,0.0,0.0,4.718289710261351,0.0,0.0,18.680470331591692,10.557879995489744,0.0,0.0
21,0.0,0.0,3.817129269874854,0.0,7.199872254140569,2.8518802583332334,0.0,2.8383872222360425,0.0,0.0,0.0,4.718289710261351,0.0,0.0,18.680470331591692,10.557879995489744,0.0,0.0
